Director,2010;Language,Tom Hooper;Genre,en;Rated,PG-13;Writer,Biography, Drama, History;Poster,David Seidler;Response,68413;ID,http://ia.media-imdb.com/images/M/MV5BMzU5MjEwMTg2Nl5BMl5BanBnXkFtZTcwNzM3MTYxNA@@._V1._SX320.jpg;Rating,True;Released,tt1504320;Runtime,8.4;Plot,The King's Speech;Actors,24 Dec 2010;
Director,2010;Language,Steve Antin;Genre,en;Rated,PG-13;Writer,Drama, Musical, Romance;Poster,Steve Antin;Response,9794;ID,http://ia.media-imdb.com/images/M/MV5BMTc4MzEyODI0Ml5BMl5BanBnXkFtZTcwNjIyNDQ4Mw@@._V1._SX320.jpg;Rating,True;Released,tt1126591;Runtime,6.1;Plot,Burlesque;Actors,24 Nov 2010;
Director,2009;Language,Hoyt Yeatman;Genre,de;Rated,PG;Writer,Action, Adventure, Comedy, Family, Fantasy;Poster,Cormac Wibberley, Marianne Wibberley;Response,10562;ID,http://ia.media-imdb.com/images/M/MV5BMTM4NTY3MzY2MV5BMl5BanBnXkFtZTcwMDQ1NTM2Mg@@._V1._SX320.jpg;Rating,True;Released,tt0436339;Runtime,5.0;Plot,G-Force;Actors,24 Jul 2009;
Director,2004;Language,Richard Valverde;Genre,fr;Rated,N/A;Writer,Comedy;Poster,Kader Aoun, Jamel Debbouze;Response,59;ID,N/A;Rating,True;Released,tt0439642;Runtime,7.9;Plot,Jamel 100% Debbouze;Actors,22 Nov 2004;
Director,2004;Language,Danny Leiner;Genre,en;Rated,R;Writer,Adventure, Comedy;Poster,Jon Hurwitz, Hayden Schlossberg;Response,58602;ID,http://ia.media-imdb.com/images/M/MV5BNDQyMTg3Mzk4MV5BMl5BanBnXkFtZTcwMDM4NzUyMQ@@._V1._SX320.jpg;Rating,True;Released,tt0366551;Runtime,7.2;Plot,Harold & Kumar Go to White Castle;Actors,30 Jul 2004;
Director,2006;Language,Zack Snyder;Genre,en;Rated,R;Writer,Action, Fantasy, War;Poster,Zack Snyder, Kurt Johnstad;Response,246571;ID,http://ia.media-imdb.com/images/M/MV5BMjAzNTkzNjcxNl5BMl5BanBnXkFtZTYwNDA4NjE3._V1._SX320.jpg;Rating,True;Released,tt0416449;Runtime,7.8;Plot,300;Actors,9 Mar 2007;
Director,2007;Language,Ridley Scott;Genre,en;Rated,R;Writer,Crime, Drama;Poster,Steven Zaillian, Mark Jacobson;Response,119406;ID,http://ia.media-imdb.com/images/M/MV5BMTkyNzY5MDA5MV5BMl5BanBnXkFtZTcwMjg4MzI3MQ@@._V1._SX320.jpg;Rating,True;Released,tt0765429;Runtime,7.9;Plot,American Gangster;Actors,2 Nov 2007;
Director,2006;Language,Woody Allen;Genre,de;Rated,PG-13;Writer,Comedy, Fantasy, Mystery, Romance;Poster,Woody Allen;Response,31584;ID,http://ia.media-imdb.com/images/M/MV5BMTM2MjYzOTMwNV5BMl5BanBnXkFtZTcwMjM0NTQzMQ@@._V1._SX320.jpg;Rating,True;Released,tt0457513;Runtime,6.8;Plot,Scoop;Actors,15 Sep 2006;
Director,2004;Language,Alexander Payne;Genre,de;Rated,R;Writer,Comedy, Drama, Romance;Poster,Rex Pickett, Alexander Payne;Response,71980;ID,http://ia.media-imdb.com/images/M/MV5BMTU0Mjg3MzkxOV5BMl5BanBnXkFtZTYwNDU1OTY3._V1._SX320.jpg;Rating,True;Released,tt0375063;Runtime,7.8;Plot,Sideways;Actors,21 Jan 2005;
Director,2001;Language,Thomas Gilou;Genre,fr;Rated,15;Writer,Comedy;Poster,Gérard Bitton, Michel Munz;Response,997;ID,http://ia.media-imdb.com/images/M/MV5BMTQzMjE3OTcxNl5BMl5BanBnXkFtZTcwODgzNzAwMQ@@._V1._SX320.jpg;Rating,True;Released,tt0214289;Runtime,6.3;Plot,Would I Lie to You? 2;Actors,7 Feb 2001;
Director,2010;Language,Pierre Morel;Genre,de;Rated,R;Writer,Action, Crime, Thriller;Poster,Adi Hasak, Luc Besson;Response,28911;ID,http://ia.media-imdb.com/images/M/MV5BNDUyMzExOTAyM15BMl5BanBnXkFtZTcwMTU0NjAyMw@@._V1._SX320.jpg;Rating,True;Released,tt1179034;Runtime,6.4;Plot,From Paris with Love;Actors,5 Feb 2010;
Director,2005;Language,Francis Lawrence;Genre,de;Rated,R;Writer,Action, Drama, Fantasy, Horror, Mystery;Poster,Jamie Delano, Garth Ennis;Response,83463;ID,http://ia.media-imdb.com/images/M/MV5BMTE5NDk5NTUyN15BMl5BanBnXkFtZTYwNzUyMDA3._V1._SX320.jpg;Rating,True;Released,tt0360486;Runtime,6.7;Plot,Constantine;Actors,18 Feb 2005;
Director,2010;Language,Phillip Noyce;Genre,en;Rated,PG-13;Writer,Action, Crime, Mystery, Thriller;Poster,Kurt Wimmer;Response,59003;ID,http://ia.media-imdb.com/images/M/MV5BMjIyODA2NDg4NV5BMl5BanBnXkFtZTcwMjg4NDAwMw@@._V1._SX320.jpg;Rating,True;Released,tt0944835;Runtime,6.5;Plot,Salt;Actors,23 Jul 2010;
Director,2009;Language,Guy Ritchie;Genre,de;Rated,PG-13;Writer,Action, Adventure, Crime, Mystery, Thriller;Poster,Michael Robert Johnson, Anthony Peckham;Response,105966;ID,http://ia.media-imdb.com/images/M/MV5BMTg0NjEwNjUxM15BMl5BanBnXkFtZTcwMzk0MjQ5Mg@@._V1._SX320.jpg;Rating,True;Released,tt0988045;Runtime,7.5;Plot,Sherlock Holmes;Actors,25 Dec 2009;
Director,2005;Language,Jason Reitman;Genre,en;Rated,R;Writer,Comedy, Drama;Poster,Jason Reitman, Christopher Buckley;Response,68884;ID,http://ia.media-imdb.com/images/M/MV5BMTI2MDk5MjE4NV5BMl5BanBnXkFtZTYwMjkwNTU3._V1._SX320.jpg;Rating,True;Released,tt0427944;Runtime,7.8;Plot,Thank You for Smoking;Actors,14 Apr 2006;
